x1,x2,x3,x4,target,distance
2,1,1,0,1,1.4142135623730951
2,0,0,1,0,1.7320508075688772
2,2,1,0,0,1.7320508075688772
2,2,2,1,1,1.7320508075688772
1,1,2,2,1,1.4142135623730951
0,0,1,2,0,1.7320508075688772
1,0,2,2,1,1.7320508075688772
0,1,0,0,0,1.7320508075688772
1,1,1,1,0,0.0
2,2,2,1,0,1.7320508075688772
1,0,2,1,1,1.4142135623730951
1,2,0,0,0,1.7320508075688772
2,2,1,0,0,1.7320508075688772
0,2,0,1,1,1.7320508075688772
2,0,1,0,0,1.7320508075688772
1,0,0,1,0,1.4142135623730951
2,1,2,1,1,1.4142135623730951
0,2,1,0,1,1.7320508075688772
1,1,0,1,1,1.0
2,2,1,0,1,1.7320508075688772
2,2,0,2,1,2.0
1,2,0,2,0,1.7320508075688772
0,2,0,2,0,2.0
2,1,1,0,0,1.4142135623730951
1,0,0,2,1,1.7320508075688772
0,1,1,0,1,1.4142135623730951
1,1,1,1,0,0.0
1,0,0,1,1,1.4142135623730951
1,1,0,2,0,1.4142135623730951
1,2,0,2,0,1.7320508075688772
0,0,2,0,0,2.0
2,0,2,0,1,2.0
0,2,0,0,0,2.0
1,0,1,2,0,1.4142135623730951
0,1,1,1,1,1.0
1,0,2,2,0,1.7320508075688772
1,0,2,1,0,1.4142135623730951
1,2,1,0,1,1.4142135623730951
2,2,1,2,1,1.7320508075688772
0,1,2,1,1,1.4142135623730951
0,2,0,0,0,2.0
0,2,2,0,1,2.0
1,1,2,0,1,1.4142135623730951
2,1,2,0,0,1.7320508075688772
1,1,1,2,0,1.0
0,1,0,2,0,1.7320508075688772
0,2,1,0,0,1.7320508075688772
1,0,1,1,0,1.0
1,2,1,2,1,1.4142135623730951
2,0,0,0,0,2.0
1,0,2,1,1,1.4142135623730951
2,2,2,1,0,1.7320508075688772
1,2,1,2,0,1.4142135623730951
0,0,1,2,1,1.7320508075688772
1,2,2,2,1,1.7320508075688772
2,1,2,1,1,1.4142135623730951
1,1,1,2,0,1.0
0,2,1,2,1,1.7320508075688772
1,2,0,1,1,1.4142135623730951
0,2,1,1,0,1.4142135623730951
2,2,1,1,1,1.4142135623730951
0,0,0,2,0,2.0
2,2,2,1,0,1.7320508075688772
0,0,2,0,1,2.0
2,2,2,2,0,2.0
0,2,1,2,1,1.7320508075688772
1,1,1,2,0,1.0
1,2,2,0,0,1.7320508075688772
2,1,1,1,1,1.0
1,1,2,2,1,1.4142135623730951
0,2,2,0,0,2.0
2,1,2,2,1,1.7320508075688772
0,0,1,0,1,1.7320508075688772
0,0,0,2,0,2.0
0,1,0,0,0,1.7320508075688772
1,1,1,0,0,1.0
2,1,0,0,0,1.7320508075688772
0,1,0,0,1,1.7320508075688772
1,1,0,2,0,1.4142135623730951
2,2,2,1,0,1.7320508075688772
0,2,1,2,0,1.7320508075688772
1,0,1,0,1,1.4142135623730951
2,2,0,1,0,1.7320508075688772
1,1,1,0,0,1.0
0,1,0,2,0,1.7320508075688772
0,2,1,0,0,1.7320508075688772
0,2,2,0,1,2.0
1,2,1,2,0,1.4142135623730951
2,0,2,0,1,2.0
0,1,2,0,1,1.7320508075688772
1,1,1,0,1,1.0
0,1,1,1,1,1.0
0,0,1,1,0,1.4142135623730951
2,0,1,1,0,1.4142135623730951
2,2,2,2,0,2.0
2,2,2,1,0,1.7320508075688772
0,2,2,2,0,2.0
1,0,0,0,0,1.7320508075688772
1,2,1,1,1,1.0
0,0,0,0,0,2.0
1,1,2,0,1,1.4142135623730951
2,2,2,0,1,2.0
1,1,1,1,0,0.0
2,2,2,1,0,1.7320508075688772
1,0,0,2,1,1.7320508075688772
1,2,2,1,0,1.4142135623730951
1,1,1,2,0,1.0
0,2,1,2,1,1.7320508075688772
0,1,1,0,0,1.4142135623730951
1,2,2,0,1,1.7320508075688772
2,1,0,0,1,1.7320508075688772
2,0,1,0,0,1.7320508075688772
0,1,1,2,0,1.4142135623730951
2,1,2,2,1,1.7320508075688772
2,1,0,0,1,1.7320508075688772
0,2,2,0,0,2.0
0,1,2,2,1,1.7320508075688772
1,1,2,0,1,1.4142135623730951
0,1,0,1,0,1.4142135623730951
2,0,1,1,1,1.4142135623730951
2,1,1,2,0,1.4142135623730951
1,1,2,1,1,1.0
1,0,1,2,0,1.4142135623730951
2,0,0,2,0,2.0
1,0,1,1,0,1.0
1,2,2,2,0,1.7320508075688772
2,0,0,2,0,2.0
0,2,1,2,1,1.7320508075688772
0,0,1,0,1,1.7320508075688772
1,0,1,1,0,1.0
0,2,2,2,1,2.0
1,1,0,1,0,1.0
0,1,2,1,1,1.4142135623730951
0,2,1,2,0,1.7320508075688772
0,1,1,0,1,1.4142135623730951
1,0,0,1,1,1.4142135623730951
0,1,2,1,0,1.4142135623730951
0,2,0,0,1,2.0
0,1,1,1,0,1.0
0,2,0,0,1,2.0
1,2,0,1,0,1.4142135623730951
0,0,1,1,1,1.4142135623730951
2,0,2,0,0,2.0
0,0,2,2,1,2.0
0,2,1,0,1,1.7320508075688772
1,1,0,0,0,1.4142135623730951
2,2,1,1,0,1.4142135623730951
2,0,2,1,0,1.7320508075688772
2,1,2,1,1,1.4142135623730951
1,1,1,2,0,1.0
2,1,0,1,1,1.4142135623730951
1,2,0,2,0,1.7320508075688772
0,2,2,0,1,2.0
2,2,2,2,0,2.0
2,1,0,2,0,1.7320508075688772
2,1,0,2,1,1.7320508075688772
2,1,1,2,1,1.4142135623730951
2,1,1,2,1,1.4142135623730951
2,1,1,2,1,1.4142135623730951
2,2,2,0,1,2.0
2,0,1,2,0,1.7320508075688772
1,1,1,0,1,1.0
2,1,2,1,1,1.4142135623730951
0,2,2,0,1,2.0
2,1,2,0,1,1.7320508075688772
2,2,2,1,0,1.7320508075688772
1,0,0,1,1,1.4142135623730951
0,0,1,0,0,1.7320508075688772
1,0,0,2,0,1.7320508075688772
1,2,0,1,0,1.4142135623730951
1,2,2,0,1,1.7320508075688772
1,2,2,0,0,1.7320508075688772
1,0,1,2,1,1.4142135623730951
1,1,2,2,1,1.4142135623730951
0,2,1,0,0,1.7320508075688772
1,2,0,1,1,1.4142135623730951
2,1,0,2,0,1.7320508075688772
2,0,1,0,0,1.7320508075688772
0,0,2,1,1,1.7320508075688772
1,0,0,1,1,1.4142135623730951
2,2,1,1,1,1.4142135623730951
1,0,1,2,0,1.4142135623730951
1,1,2,2,0,1.4142135623730951
1,1,0,0,0,1.4142135623730951
0,0,1,2,0,1.7320508075688772
0,1,0,0,1,1.7320508075688772
1,1,0,2,1,1.4142135623730951
1,2,1,1,1,1.0
2,2,0,2,1,2.0
0,1,1,0,0,1.4142135623730951
0,0,0,2,0,2.0
1,2,2,2,0,1.7320508075688772
1,1,0,0,0,1.4142135623730951
0,1,2,0,1,1.7320508075688772
0,2,2,0,0,2.0
2,1,0,1,1,1.4142135623730951
2,0,1,2,1,1.7320508075688772
1,1,2,2,1,1.4142135623730951
2,0,1,0,0,1.7320508075688772
0,1,2,0,0,1.7320508075688772
2,0,2,0,1,2.0
0,1,2,1,0,1.4142135623730951
0,2,1,0,1,1.7320508075688772
1,0,0,1,0,1.4142135623730951
0,2,1,2,0,1.7320508075688772
0,0,2,0,0,2.0
1,2,1,1,0,1.0
0,2,2,0,0,2.0
1,0,1,0,0,1.4142135623730951
2,2,1,2,0,1.7320508075688772
1,2,1,0,1,1.4142135623730951
2,1,2,2,1,1.7320508075688772
2,2,0,1,1,1.7320508075688772
2,0,0,0,1,2.0
0,0,0,2,0,2.0
1,0,0,2,0,1.7320508075688772
2,1,0,1,0,1.4142135623730951
2,2,2,0,0,2.0
0,1,0,0,1,1.7320508075688772
0,0,2,1,1,1.7320508075688772
1,1,2,0,1,1.4142135623730951
0,0,1,1,0,1.4142135623730951
0,0,2,0,0,2.0
2,0,2,1,0,1.7320508075688772
1,0,0,1,0,1.4142135623730951
0,0,1,2,1,1.7320508075688772
2,1,0,0,1,1.7320508075688772
1,0,0,1,0,1.4142135623730951
0,0,1,1,0,1.4142135623730951
0,1,2,1,1,1.4142135623730951
1,1,2,0,1,1.4142135623730951
1,2,1,0,1,1.4142135623730951
0,2,1,1,1,1.4142135623730951
0,1,0,0,1,1.7320508075688772
2,2,1,0,0,1.7320508075688772
1,0,2,2,1,1.7320508075688772
0,2,0,2,0,2.0
2,0,2,2,0,2.0
0,2,0,2,0,2.0
2,0,0,2,1,2.0
2,1,2,0,0,1.7320508075688772
1,0,0,0,0,1.7320508075688772
0,0,2,2,1,2.0
1,2,1,2,0,1.4142135623730951
2,2,2,1,1,1.7320508075688772
2,1,0,0,0,1.7320508075688772
0,0,0,1,1,1.7320508075688772
2,1,0,0,0,1.7320508075688772
0,2,1,0,0,1.7320508075688772
1,2,1,1,1,1.0
2,0,0,0,0,2.0
2,2,2,1,0,1.7320508075688772
0,2,1,2,1,1.7320508075688772
2,1,0,1,1,1.4142135623730951
0,1,2,0,1,1.7320508075688772
1,1,2,2,1,1.4142135623730951
2,2,0,1,0,1.7320508075688772
1,2,0,0,1,1.7320508075688772
1,0,1,2,0,1.4142135623730951
2,2,0,1,1,1.7320508075688772
0,2,1,2,1,1.7320508075688772
0,1,2,2,1,1.7320508075688772
1,0,2,0,1,1.7320508075688772
0,1,0,2,1,1.7320508075688772
2,0,0,2,0,2.0
1,2,2,0,0,1.7320508075688772
1,1,0,0,1,1.4142135623730951
1,0,0,2,1,1.7320508075688772
0,0,2,0,1,2.0
2,0,0,0,0,2.0
2,0,0,2,1,2.0
1,2,1,2,1,1.4142135623730951
2,2,1,1,1,1.4142135623730951
2,2,0,0,1,2.0
1,1,2,1,1,1.0
0,2,0,1,0,1.7320508075688772
2,1,0,2,0,1.7320508075688772
2,2,0,0,0,2.0
2,0,2,2,0,2.0
0,2,0,1,0,1.7320508075688772
2,2,1,0,0,1.7320508075688772
1,2,1,2,0,1.4142135623730951
2,2,0,0,0,2.0
1,1,2,2,0,1.4142135623730951
2,1,1,2,0,1.4142135623730951
2,0,1,2,1,1.7320508075688772
2,0,2,0,1,2.0
0,1,2,1,1,1.4142135623730951
1,2,1,1,0,1.0
2,1,2,0,1,1.7320508075688772
1,2,2,1,0,1.4142135623730951
0,2,1,2,1,1.7320508075688772
2,2,2,2,0,2.0
1,1,2,1,0,1.0
1,1,2,0,0,1.4142135623730951
2,2,1,2,0,1.7320508075688772
2,0,1,1,1,1.4142135623730951
0,0,2,0,0,2.0
0,0,2,0,0,2.0
1,0,1,1,1,1.0
1,2,0,1,0,1.4142135623730951
0,0,2,1,1,1.7320508075688772
1,2,2,2,1,1.7320508075688772
2,2,0,1,0,1.7320508075688772
1,2,1,2,1,1.4142135623730951
0,2,2,1,0,1.7320508075688772
2,1,0,1,0,1.4142135623730951
2,2,0,2,1,2.0
2,2,0,1,0,1.7320508075688772
2,2,0,0,1,2.0
2,2,2,1,0,1.7320508075688772
0,1,2,0,0,1.7320508075688772
1,1,1,0,1,1.0
2,2,0,0,1,2.0
0,1,1,0,0,1.4142135623730951
2,0,0,1,1,1.7320508075688772
1,0,2,2,0,1.7320508075688772
0,2,0,2,0,2.0
0,0,1,1,1,1.4142135623730951
1,2,2,1,0,1.4142135623730951
2,1,0,2,0,1.7320508075688772
1,0,2,0,0,1.7320508075688772
0,0,2,0,0,2.0
0,1,0,1,1,1.4142135623730951
2,1,2,2,0,1.7320508075688772
1,1,1,0,0,1.0
2,0,0,2,1,2.0
0,0,1,0,1,1.7320508075688772
0,2,0,2,0,2.0
0,2,2,0,1,2.0
1,2,1,0,1,1.4142135623730951
0,0,0,0,1,2.0
2,0,2,1,0,1.7320508075688772
0,1,0,2,1,1.7320508075688772
1,1,2,2,0,1.4142135623730951
2,1,1,0,1,1.4142135623730951
1,1,2,0,1,1.4142135623730951
0,0,1,0,0,1.7320508075688772
0,0,1,1,1,1.4142135623730951
2,1,2,2,1,1.7320508075688772
1,0,1,1,1,1.0
0,1,0,0,1,1.7320508075688772
0,1,2,1,1,1.4142135623730951
1,1,0,2,0,1.4142135623730951
0,2,1,1,0,1.4142135623730951
2,1,0,0,0,1.7320508075688772
0,2,0,1,0,1.7320508075688772
2,1,0,0,1,1.7320508075688772
2,1,2,0,1,1.7320508075688772
1,2,0,2,0,1.7320508075688772
2,2,2,2,0,2.0
0,2,0,2,0,2.0
0,1,0,0,1,1.7320508075688772
2,2,0,0,1,2.0
0,2,0,0,1,2.0
2,1,2,1,0,1.4142135623730951
1,2,0,1,1,1.4142135623730951
0,0,0,0,0,2.0
0,0,0,1,0,1.7320508075688772
2,1,1,1,0,1.0
1,1,1,2,0,1.0
1,0,2,2,0,1.7320508075688772
2,2,0,2,1,2.0
0,1,2,0,1,1.7320508075688772
2,2,1,2,1,1.7320508075688772
0,2,0,2,1,2.0
0,0,1,2,1,1.7320508075688772
1,2,2,0,1,1.7320508075688772
2,2,1,0,0,1.7320508075688772
2,2,2,2,1,2.0
0,0,2,1,1,1.7320508075688772
0,1,2,1,0,1.4142135623730951
0,1,0,2,0,1.7320508075688772
2,1,1,1,1,1.0
0,1,0,0,1,1.7320508075688772
2,2,0,0,1,2.0
0,2,1,1,1,1.4142135623730951
0,0,0,1,1,1.7320508075688772
2,1,1,0,0,1.4142135623730951
2,2,0,2,1,2.0
1,1,0,2,1,1.4142135623730951
2,2,0,0,1,2.0
2,1,0,2,0,1.7320508075688772
1,2,1,0,1,1.4142135623730951
2,1,2,1,1,1.4142135623730951
1,0,0,2,0,1.7320508075688772
2,2,0,1,1,1.7320508075688772
2,1,2,0,0,1.7320508075688772
1,1,2,0,0,1.4142135623730951
1,2,1,1,0,1.0
1,1,0,1,1,1.0
2,2,2,1,0,1.7320508075688772
1,2,1,0,0,1.4142135623730951
1,0,0,2,0,1.7320508075688772
0,0,1,1,1,1.4142135623730951
1,2,1,1,1,1.0
1,2,1,2,0,1.4142135623730951
0,2,2,0,1,2.0
1,2,2,2,0,1.7320508075688772
1,1,0,2,0,1.4142135623730951
2,1,1,0,0,1.4142135623730951
2,1,1,1,1,1.0
2,0,2,0,0,2.0
0,1,0,0,1,1.7320508075688772
1,1,0,0,0,1.4142135623730951
0,0,1,2,1,1.7320508075688772
1,1,1,0,1,1.0
1,2,2,2,1,1.7320508075688772
0,0,0,0,0,2.0
1,2,1,0,1,1.4142135623730951
1,2,2,2,0,1.7320508075688772
1,1,2,1,1,1.0
1,2,1,0,1,1.4142135623730951
2,2,2,0,0,2.0
0,0,0,1,0,1.7320508075688772
1,0,2,2,1,1.7320508075688772
1,1,0,0,1,1.4142135623730951
2,2,2,0,1,2.0
2,1,0,0,0,1.7320508075688772
0,0,2,0,1,2.0
2,2,2,0,0,2.0
1,2,1,1,1,1.0
1,1,1,1,0,0.0
1,1,2,1,1,1.0
2,2,1,2,1,1.7320508075688772
1,0,2,2,0,1.7320508075688772
2,1,1,1,1,1.0
0,0,2,2,0,2.0
0,1,0,2,0,1.7320508075688772
2,1,2,1,0,1.4142135623730951
2,2,2,0,0,2.0
1,1,0,1,0,1.0
1,0,2,2,0,1.7320508075688772
0,0,0,0,1,2.0
1,2,1,2,1,1.4142135623730951
2,0,0,0,1,2.0
2,1,2,2,0,1.7320508075688772
0,0,0,2,0,2.0
0,0,1,1,1,1.4142135623730951
2,1,1,1,0,1.0
0,0,0,2,0,2.0
2,0,2,1,1,1.7320508075688772
0,1,0,0,1,1.7320508075688772
0,1,0,2,0,1.7320508075688772
1,1,1,2,1,1.0
2,1,0,0,0,1.7320508075688772
2,2,2,1,1,1.7320508075688772
2,0,1,0,1,1.7320508075688772
0,2,1,1,1,1.4142135623730951
2,1,0,2,1,1.7320508075688772
0,1,0,2,0,1.7320508075688772
2,1,1,1,1,1.0
1,0,1,1,1,1.0
1,2,1,2,1,1.4142135623730951
0,0,0,1,1,1.7320508075688772
2,1,1,0,0,1.4142135623730951
2,1,2,2,0,1.7320508075688772
1,1,2,0,0,1.4142135623730951
0,0,1,0,1,1.7320508075688772
1,2,2,1,1,1.4142135623730951
0,2,1,0,0,1.7320508075688772
1,1,0,1,1,1.0
2,2,2,1,1,1.7320508075688772
0,0,2,1,0,1.7320508075688772
0,2,2,2,1,2.0
2,1,1,2,0,1.4142135623730951
2,0,0,1,0,1.7320508075688772
2,1,0,1,0,1.4142135623730951
2,2,1,2,1,1.7320508075688772
1,0,0,0,1,1.7320508075688772
2,2,2,1,1,1.7320508075688772
2,0,1,1,0,1.4142135623730951
1,1,1,1,1,0.0
2,0,2,1,0,1.7320508075688772
2,0,1,1,1,1.4142135623730951
2,0,2,0,0,2.0
0,0,2,1,0,1.7320508075688772
1,1,2,1,1,1.0
0,0,0,0,1,2.0
2,2,0,2,0,2.0
0,0,0,1,1,1.7320508075688772
2,1,0,1,1,1.4142135623730951
1,1,2,0,1,1.4142135623730951
1,0,0,1,1,1.4142135623730951
1,2,2,2,1,1.7320508075688772
0,1,1,0,1,1.4142135623730951
1,1,2,1,1,1.0
0,2,0,1,1,1.7320508075688772
2,2,1,2,0,1.7320508075688772
2,0,2,2,1,2.0
1,0,1,1,1,1.0
1,2,1,0,0,1.4142135623730951
0,0,0,0,1,2.0
1,1,1,1,1,0.0
1,1,2,1,0,1.0
2,1,0,2,0,1.7320508075688772
1,2,1,2,0,1.4142135623730951
2,2,0,2,0,2.0
1,0,1,0,1,1.4142135623730951
1,1,2,0,1,1.4142135623730951
1,0,1,1,0,1.0
2,2,2,1,1,1.7320508075688772
2,1,1,2,0,1.4142135623730951
0,2,0,0,1,2.0
1,2,2,2,1,1.7320508075688772
0,0,1,1,0,1.4142135623730951
0,0,2,1,0,1.7320508075688772
2,1,2,2,1,1.7320508075688772
1,1,2,0,1,1.4142135623730951
1,1,0,1,0,1.0
0,0,1,0,1,1.7320508075688772
1,2,2,2,0,1.7320508075688772
2,2,1,1,1,1.4142135623730951
2,0,1,2,1,1.7320508075688772
1,0,0,0,1,1.7320508075688772
0,1,0,2,1,1.7320508075688772
2,2,2,0,1,2.0
2,0,2,2,0,2.0
0,2,0,2,1,2.0
0,2,2,1,0,1.7320508075688772
2,2,1,1,1,1.4142135623730951
2,2,2,2,0,2.0
0,2,2,0,1,2.0
0,2,1,1,0,1.4142135623730951
0,0,1,0,0,1.7320508075688772
1,0,0,1,1,1.4142135623730951
2,0,1,2,0,1.7320508075688772
2,2,0,2,1,2.0
1,2,1,2,0,1.4142135623730951
2,2,2,0,0,2.0
0,1,0,2,0,1.7320508075688772
1,2,1,2,0,1.4142135623730951
0,0,1,2,1,1.7320508075688772
0,1,2,0,0,1.7320508075688772
2,2,1,1,1,1.4142135623730951
2,0,1,2,0,1.7320508075688772
2,1,2,2,0,1.7320508075688772
1,2,2,2,0,1.7320508075688772
1,2,1,2,0,1.4142135623730951
2,2,1,2,0,1.7320508075688772
1,0,1,2,0,1.4142135623730951
2,0,1,2,1,1.7320508075688772
0,2,0,0,0,2.0
2,2,2,1,1,1.7320508075688772
2,1,2,1,1,1.4142135623730951
1,1,2,1,1,1.0
2,0,2,0,1,2.0
1,2,0,1,1,1.4142135623730951
1,0,1,1,1,1.0
0,0,2,0,1,2.0
2,0,0,1,0,1.7320508075688772
0,0,1,2,0,1.7320508075688772
1,0,1,0,0,1.4142135623730951
1,0,1,2,0,1.4142135623730951
1,0,0,2,0,1.7320508075688772
2,1,0,2,1,1.7320508075688772
2,2,1,2,1,1.7320508075688772
0,2,1,2,0,1.7320508075688772
0,0,0,2,1,2.0
2,0,0,0,0,2.0
2,2,1,1,1,1.4142135623730951
0,0,1,0,1,1.7320508075688772
2,2,1,0,1,1.7320508075688772
0,2,0,1,1,1.7320508075688772
1,2,0,0,1,1.7320508075688772
2,0,0,2,0,2.0
0,2,0,1,0,1.7320508075688772
0,2,2,0,0,2.0
1,2,0,2,1,1.7320508075688772
1,0,0,2,0,1.7320508075688772
2,1,1,1,1,1.0
0,1,0,1,1,1.4142135623730951
0,2,2,0,1,2.0
2,0,0,0,0,2.0
1,0,1,2,0,1.4142135623730951
0,2,2,2,0,2.0
2,2,0,0,0,2.0
0,2,2,2,1,2.0
2,0,0,2,0,2.0
1,2,1,0,1,1.4142135623730951
1,0,0,0,1,1.7320508075688772
1,0,1,0,1,1.4142135623730951
1,2,1,1,0,1.0
2,0,0,2,1,2.0
0,1,2,0,1,1.7320508075688772
2,0,1,0,1,1.7320508075688772
0,0,1,2,0,1.7320508075688772
1,0,2,2,0,1.7320508075688772
1,1,1,2,1,1.0
1,0,2,1,0,1.4142135623730951
2,2,1,0,0,1.7320508075688772
0,0,2,2,0,2.0
1,2,2,1,1,1.4142135623730951
0,1,0,1,0,1.4142135623730951
2,1,2,2,1,1.7320508075688772
2,1,1,1,0,1.0
2,0,0,2,1,2.0
2,0,1,2,1,1.7320508075688772
1,1,0,1,0,1.0
0,2,2,1,0,1.7320508075688772
1,1,0,1,1,1.0
2,1,1,2,1,1.4142135623730951
2,1,0,0,0,1.7320508075688772
1,2,2,1,1,1.4142135623730951
1,1,0,1,0,1.0
1,0,1,2,1,1.4142135623730951
2,0,1,2,1,1.7320508075688772
2,0,0,1,0,1.7320508075688772
1,0,0,2,0,1.7320508075688772
1,1,1,2,0,1.0
1,0,2,2,1,1.7320508075688772
0,2,0,1,1,1.7320508075688772
2,1,0,1,0,1.4142135623730951
0,1,0,2,0,1.7320508075688772
2,2,2,0,1,2.0
0,0,2,2,0,2.0
0,0,0,1,0,1.7320508075688772
0,0,2,2,0,2.0
0,1,1,1,1,1.0
1,0,1,1,1,1.0
1,2,1,1,0,1.0
0,2,0,0,1,2.0
1,0,1,1,0,1.0
1,0,1,1,0,1.0
2,1,2,2,1,1.7320508075688772
1,1,2,1,0,1.0
2,0,1,1,0,1.4142135623730951
0,2,1,0,0,1.7320508075688772
2,1,2,0,1,1.7320508075688772
2,0,0,0,0,2.0
0,1,0,1,1,1.4142135623730951
0,1,2,1,0,1.4142135623730951
0,0,0,1,0,1.7320508075688772
1,2,1,2,1,1.4142135623730951
0,1,1,1,0,1.0
2,0,1,2,1,1.7320508075688772
2,1,2,1,1,1.4142135623730951
1,2,1,1,1,1.0
2,0,0,0,0,2.0
0,1,2,1,0,1.4142135623730951
1,0,0,1,1,1.4142135623730951
2,1,0,0,0,1.7320508075688772
0,0,2,1,1,1.7320508075688772
1,2,2,2,1,1.7320508075688772
1,2,0,2,0,1.7320508075688772
2,0,1,2,1,1.7320508075688772
0,2,1,0,0,1.7320508075688772
0,0,1,2,0,1.7320508075688772
2,0,1,0,1,1.7320508075688772
0,2,0,0,1,2.0
0,2,2,2,1,2.0
0,2,0,0,1,2.0
2,0,2,2,1,2.0
1,0,0,2,1,1.7320508075688772
2,0,2,0,0,2.0
1,2,2,0,0,1.7320508075688772
2,2,1,0,1,1.7320508075688772
2,0,0,2,0,2.0
1,1,2,2,1,1.4142135623730951
2,1,2,0,0,1.7320508075688772
1,0,2,0,0,1.7320508075688772
2,1,0,1,0,1.4142135623730951
1,1,1,2,0,1.0
0,2,1,1,1,1.4142135623730951
1,2,0,2,0,1.7320508075688772
2,0,0,2,1,2.0
0,1,2,0,0,1.7320508075688772
2,0,1,0,1,1.7320508075688772
1,0,0,0,0,1.7320508075688772
0,1,2,1,0,1.4142135623730951
1,1,1,1,0,0.0
0,2,0,1,0,1.7320508075688772
2,1,0,0,0,1.7320508075688772
1,1,1,2,0,1.0
1,1,0,0,0,1.4142135623730951
2,0,2,1,1,1.7320508075688772
0,2,2,2,1,2.0
1,2,1,2,1,1.4142135623730951
1,0,2,1,1,1.4142135623730951
0,2,2,1,1,1.7320508075688772
2,2,2,1,0,1.7320508075688772
1,2,0,1,0,1.4142135623730951
0,2,0,1,1,1.7320508075688772
2,0,0,2,1,2.0
0,1,1,1,1,1.0
1,0,1,1,1,1.0
1,0,2,0,1,1.7320508075688772
2,0,2,0,1,2.0
2,1,1,2,0,1.4142135623730951
1,1,2,0,0,1.4142135623730951
0,0,1,2,1,1.7320508075688772
1,0,0,1,1,1.4142135623730951
0,0,1,1,1,1.4142135623730951
1,2,2,0,1,1.7320508075688772
2,2,0,2,0,2.0
2,1,0,1,0,1.4142135623730951
2,2,2,1,1,1.7320508075688772
0,2,1,0,1,1.7320508075688772
0,0,0,0,1,2.0
2,1,0,1,1,1.4142135623730951
1,1,1,2,1,1.0
0,1,2,1,0,1.4142135623730951
1,1,1,1,1,0.0
2,1,1,2,0,1.4142135623730951
1,0,2,1,1,1.4142135623730951
2,1,1,0,1,1.4142135623730951
1,1,2,1,1,1.0
1,1,0,2,1,1.4142135623730951
2,2,2,1,0,1.7320508075688772
2,0,2,1,1,1.7320508075688772
2,0,2,2,0,2.0
1,1,1,2,0,1.0
2,2,2,1,0,1.7320508075688772
2,2,0,1,0,1.7320508075688772
2,0,2,0,0,2.0
0,2,0,0,0,2.0
0,2,1,0,0,1.7320508075688772
2,0,1,0,1,1.7320508075688772
2,2,2,2,1,2.0
1,1,1,1,0,0.0
2,1,2,2,0,1.7320508075688772
1,0,1,1,0,1.0
1,1,1,2,1,1.0
2,2,0,1,0,1.7320508075688772
2,0,2,2,0,2.0
1,1,1,1,1,0.0
0,1,1,0,1,1.4142135623730951
2,0,1,0,0,1.7320508075688772
0,0,2,0,1,2.0
2,0,1,0,1,1.7320508075688772
1,0,1,0,0,1.4142135623730951
2,0,1,0,0,1.7320508075688772
0,0,1,0,1,1.7320508075688772
0,2,2,1,0,1.7320508075688772
1,0,1,2,1,1.4142135623730951
1,1,0,1,0,1.0
2,0,1,1,0,1.4142135623730951
1,2,1,1,0,1.0
2,0,1,1,1,1.4142135623730951
0,2,2,2,1,2.0
2,0,2,0,1,2.0
0,0,0,2,1,2.0
1,0,2,1,0,1.4142135623730951
2,1,1,1,0,1.0
2,0,1,0,1,1.7320508075688772
0,0,1,2,1,1.7320508075688772
0,2,0,1,0,1.7320508075688772
2,2,1,2,0,1.7320508075688772
1,1,2,0,0,1.4142135623730951
1,1,2,2,1,1.4142135623730951
0,0,1,0,0,1.7320508075688772
2,2,1,2,1,1.7320508075688772
0,1,2,0,0,1.7320508075688772
0,0,0,1,1,1.7320508075688772
0,0,1,0,0,1.7320508075688772
2,0,1,0,0,1.7320508075688772
2,0,2,1,0,1.7320508075688772
0,0,2,1,1,1.7320508075688772
1,2,2,2,0,1.7320508075688772
0,2,0,2,1,2.0
2,1,1,1,1,1.0
2,2,2,1,0,1.7320508075688772
2,0,0,2,0,2.0
0,0,2,1,1,1.7320508075688772
1,0,0,2,0,1.7320508075688772
2,0,0,2,0,2.0
1,1,1,2,1,1.0
1,2,1,1,0,1.0
2,2,2,0,1,2.0
0,2,1,2,0,1.7320508075688772
2,1,1,1,0,1.0
1,2,0,2,0,1.7320508075688772
0,1,2,1,0,1.4142135623730951
2,1,0,1,0,1.4142135623730951
1,2,0,1,0,1.4142135623730951
0,2,2,0,0,2.0
0,1,1,2,0,1.4142135623730951
2,2,1,0,1,1.7320508075688772
1,0,2,2,1,1.7320508075688772
0,0,1,2,0,1.7320508075688772
0,2,1,0,0,1.7320508075688772
0,1,0,0,0,1.7320508075688772
1,2,1,0,1,1.4142135623730951
1,0,2,1,1,1.4142135623730951
2,1,0,0,0,1.7320508075688772
2,1,0,1,1,1.4142135623730951
0,1,0,0,0,1.7320508075688772
2,2,2,2,1,2.0
0,1,2,1,1,1.4142135623730951
2,1,1,1,0,1.0
1,0,2,2,0,1.7320508075688772
1,2,0,0,0,1.7320508075688772
1,0,2,1,0,1.4142135623730951
0,2,2,2,0,2.0
1,1,0,2,1,1.4142135623730951
2,2,1,0,0,1.7320508075688772
2,0,0,2,0,2.0
1,2,2,0,1,1.7320508075688772
2,1,2,2,1,1.7320508075688772
1,0,1,1,0,1.0
2,1,1,1,0,1.0
2,0,0,1,1,1.7320508075688772
1,2,1,1,0,1.0
2,1,0,0,1,1.7320508075688772
